業務ID,業務名,勤務開始時刻,勤務終了時刻,早朝手当,深夜手当,スキルマップ項目名,ペア業務ID
KC01A,ちふれ①朝,07:10:00,21:00:00,,,"ちふれ①
101",KC01A
KC01B,ちふれ①夕,17:00:00,21:00:00,,,"ちふれ①
101",KC01B
KC02A,ちふれ②朝,07:10:00,19:20:00,,,"ちふれ②
マイクロ",KC02B
KC02B,ちふれ②夕,17:05:00,19:20:00,,,"ちふれ②
マイクロ",KC02A
KC03A,ちふれ③朝,07:10:00,19:20:00,,,"ちふれ③
電気2202",KC03B
KC03B,ちふれ③夕,17:05:00,19:20:00,,,"ちふれ③
電気2202",KC03A
KC04A,ちふれ④朝,07:10:00,09:20:00,,,"ちふれ④
マイクロ",
KL01A,ロジA便,05:30:00,14:40:00,True,,"ロジスティード
東日本A",
KL01B,ロジB便,15:10:00,21:10:00,,,"ロジスティード
東日本B",
KL02CA,ロジC便朝,07:10:00,09:10:00,,,"ロジスティード
東日本C",KL02CB
KL02CB,ロジC便夕,16:10:00,18:40:00,,,"ロジスティード
東日本C",KL02CA
KL03MA,ロジ三芳便朝,07:50:00,10:00:00,,,"ロジスティード
東日本 三芳",KL03MB
KL03MB,ロジ三芳便夕,16:30:00,20:10:00,,,"ロジスティード
東日本 三芳",KL03MA
KE01A,エデュシップ朝,06:50:00,10:10:00,,,エデュシップ,KE01B
KE01B,エデュシップ夕,15:40:00,19:10:00,,,エデュシップ,KE01A
KS01,正電成和,06:40:00,09:00:00,,,正電成和,
KSB01A,西武文理①朝,06:00:00,09:50:00,,,西武文理,KSB01B
KSB01B,西武文理①夕,15:20:00,20:40:00,,,西武文理,KSB01A
KSB02A,西武文理②朝,06:05:00,09:55:00,,,西武文理,KSB02B
KSB02B,西武文理②夕,14:30:00,20:10:00,,,西武文理,KSB02A
KNK01N,西後楽北,08:00:00,16:55:00,,,西後楽北,
KNK02S,西後楽南,07:20:00,16:50:00,,,西後楽南,
KNK03C,西後楽中央,07:30:00,16:50:00,,,西後楽中央,
KAm01AA,Amazon A便朝,05:30:00,08:10:00,True,,309 A便,
KAm01AB,Amazon A便夕,17:20:00,21:00:00,,,309 A便,
KAm02B,Amazon B便朝,04:20:00,07:40:00,,,307 B便,
KAm04DA,Amazon D便朝,05:10:00,09:10:00,True,,308 D便,
KAm04DB,Amazon D便夕,15:40:00,22:40:00,,True,308 D便,
KAm05E,Amazon E便夕,15:40:00,22:40:00,,True,307 E便,
KAm06FA,Amazon F便朝,05:30:00,10:00:00,True,,313 F便,
KAm06FB,Amazon F便夕,16:20:00,21:10:00,,,313 F便,
KAm07GA,Amazon G便朝,05:10:00,08:30:00,True,,310 G便,
KAm07GB,Amazon G便夕,14:20:00,22:40:00,,True,310 G便,
KAm08HA,Amazon H便朝,05:30:00,09:50:00,True,,311 H便,
KAm08HB,Amazon H便夕,16:20:00,21:00:00,,,311 H便,
KAm09IA,Amazon I便朝,05:10:00,08:40:00,True,,312 I便,
KAm09IB,Amazon I便夕,15:50:00,21:10:00,,,312 I便,
KAm10JmA,Amazon Jm朝,05:30:00,09:10:00,True,,27 Jm,
KAm10JmB,Amazon Jm夕,16:20:00,21:10:00,,,27 Jm,
KAm11KmA,Amazon Km朝,05:30:00,08:40:00,True,,2204 Km,
KAm11KmB,Amazon Km夕,17:40:00,20:40:00,,,2204 Km,
KAm12LmA,Amazon Lm朝,05:50:00,09:10:00,True,,2203 Lm,
KAm12LmB,Amazon Lm夕,17:40:00,20:40:00,,,2203 Lm,
