企業名,"朝便
出庫点呼","朝便
出庫時間","朝便
帰庫時間","朝便
帰庫点呼","夕便
出庫点呼","夕便
出庫時間","夕便
帰庫時間","夕便
帰庫点呼"
ちふれホールディングス①,07:10:00,07:20:00,09:10:00,09:20:00,17:00:00,17:10:00,20:50:00,21:00:00
ちふれホールディングス②,07:10:00,07:20:00,09:10:00,09:20:00,17:05:00,17:15:00,19:10:00,19:20:00
ちふれホールディングス③,07:10:00,07:20:00,09:10:00,09:20:00,17:05:00,17:15:00,19:10:00,19:20:00
ちふれホールディングス④,07:10:00,07:20:00,09:10:00,09:20:00,,,,
ロジスティードA便,05:30:00,05:40:00,14:30:00,14:40:00,,,,
ロジスティードB便,,,,,15:10:00,15:20:00,21:00:00,21:10:00
ロジスティードC便,07:10:00,07:20:00,09:00:00,09:10:00,16:10:00,16:20:00,18:30:00,18:40:00
ロジスティード三芳便,07:50:00,08:00:00,09:50:00,10:00:00,16:30:00,16:40:00,20:00:00,20:10:00
正電成和,06:40:00,06:50:00,08:50:00,09:00:00,,,,
エデュシップ,06:50:00,07:00:00,10:00:00,10:10:00,15:40:00,15:50:00,19:00:00,19:10:00
西後楽・中央,07:30:00,07:40:00,16:40:00,16:50:00,,,,
西後楽・北,08:00:00,08:10:00,16:45:00,16:55:00,,,,
西後楽・南,07:20:00,07:30:00,16:40:00,16:50:00,,,,
西武文理①号車,06:00:00,06:10:00,09:40:00,09:50:00,15:20:00,15:30:00,20:30:00,20:40:00
西武文理②号車,06:05:00,06:15:00,09:45:00,09:55:00,14:30:00,14:40:00,20:00:00,20:10:00
Amazon A便,05:30:00,05:40:00,08:00:00,08:10:00,17:20:00,17:30:00,20:50:00,21:00:00
Amazon B便,04:20:00,04:30:00,07:30:00,07:40:00,,,,
Amazon D便,05:10:00,05:20:00,09:00:00,09:10:00,15:40:00,15:50:00,22:30:00,22:40:00
Amazon E便,,,,,15:40:00,15:50:00,22:30:00,22:40:00
Amazon F便,05:30:00,05:40:00,09:50:00,10:00:00,16:20:00,16:30:00,21:00:00,21:10:00
Amazon G便,05:10:00,05:20:00,08:20:00,08:30:00,14:20:00,14:30:00,22:30:00,22:40:00
Amazon H便,05:30:00,05:40:00,09:40:00,09:50:00,16:20:00,16:30:00,20:50:00,21:00:00
Amazon I便,05:10:00,05:20:00,08:30:00,08:40:00,15:50:00,16:00:00,21:00:00,21:10:00
Amazon Jm便,05:30:00,05:40:00,09:00:00,09:10:00,16:20:00,16:30:00,21:00:00,21:10:00
Amazon Kｍ便,05:30:00,05:40:00,08:30:00,08:40:00,17:40:00,17:50:00,20:30:00,20:40:00
Amazon Lｍ便,05:50:00,06:00:00,09:00:00,09:10:00,17:40:00,17:50:00,20:30:00,20:40:00
